Instructor,Name,Points,% of final grade,Max Coeff,Due,Description
Aaron Wilder,Weekly Preflection 5,5.0,0.004775549188156638,0.07163323782234958,2022-09-19 01:01:01.000001,"PURPOSE
Just a reminder that, throughout this class, we will be utilizing a format of ""preflection, attend, reflection"" that will bookend each week, mimicking the best practices derived from educational research. The model we pull from is: 



Preview
Attend
Review
Study
Assess



This model helps you to learn in ways that will allow you to take the lessons we learn this week and use them in other places. How? Well, that will be up to the lesson and what you are able to take form it. 
TASK
In a max of 100 words and minimum of 250 words, answer the simple questions below in either a spoken (video) or written format:



What assignments or readings do I see that I am excited about? Less excited about?
Do these assignments remind me of any that I've had in the past? Why or why not? 
What do I expect that I'll learn from these readings, assignments and in class?
What actions can I take to be an effective learning as we move through these activities? 



There are no expectations of grammar, fluency or other concerns that you may wish to stress on. Rather, I simply want to see your thinking on paper. Do not spend a huge amount of time on this- I highly prefer that you do this all in one sitting so I can see your thoughts happening as they are coming to you.
OBJECTIVES



Respond critically to readings and writers


"
Aaron Wilder,Class Reading for 2/7,0.0,0,0,2022-09-19 01:01:01.000001,"PURPOSE
In the final week of each unit, we will have a ""Design Week."" This is a week where you get to... design your Unit Portfolio. If you have kept up with your work all unit, this week will be cake for you. You've already both drafted and revised your documents. Now, you get to utilize your peers and instructor's previous feedback to refine your work, gather additional feedback to ensure that you've put forth your best effort, and begin thinking about how to create a portfolio that accentuates the great things about the work that you've developed over the last several weeks.
As a reminder, your professor, your Lab Instructor, and your classmates are your BEST RESOURCES, so USE THEM! And in using them, make sure to be clear about what, exactly, you need out of that interaction. For that purpose, below is a reminder of Elbow and Belanoff's ""Ways of Responding"" that can help guide you in gathering the best possible feedback for your writing. As a reminder, when you are working with your peers, make sure to always ask ""what type of response do you feel would be most helpful for you, so that I can structure my reading of your piece?"" or to provide direction in the form of letting them know what type of feedback that you would like to receive.
TASK
READING (Optional)



Elbow and Belanoff, ""Summary of Ways of Responding"" (Links to an external site.)



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers
Uses appropriate Englishes for rhetorical purposes


"
Aaron Wilder,Class Reading 2/28: Reminder of Ways of Responding,1.0,0.0009551098376313276,0.014326647564469913,2022-10-10 01:01:01.000001,"PURPOSE
I've surely said this before in class, but Design Days in the weeks leading up to a portfolio work best when they are loud. When there is lots of movement as students go back and forth between each other seeking feedback, asking questions about the assignments, ""tell me what you think when you see this feedback Aaron gave me?"" ""I'm trying to do this but I'm a little bit stuck. Have you done something like this before?"" ""I'm going for a sort of gleeful energy here with the colors and structure. Does that come across?""
One of the things that should be happening most prominently in this clamor of writing activity (the best type of writing) is receiving feedback. And in order to receive effective feedback, you need to know how to ask for feedback that will be helpful to you. To do that, we will review Elbow and Belanoff's piece, ""Summary of Ways of Responding."" 
TASK
READING



Elbow and Belanoff, ""Summary of Ways of Responding"" (Links to an external site.)



WRITING 



Read through this piece with your writing in mind, and let me know what types of feedback you will be seeking from your peers in class, as well as your Lab Instructor during this week. 



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers
Uses appropriate Englishes for rhetorical purposes


"
Aaron Wilder,Research Project Draft 1- Literature Review ONLY,10.0,0.009551098376313277,0.14326647564469916,2022-11-02 01:01:01.000001,"PURPOSE
We have been working through this research assignment for about a week now, and it has become time for us to begin moving from the data collection stage into the actual recording stage. You have been working either in opposition to or directly from a problem that you stated you wished to solve in your community, and have been through a Learning and Discovery process, including creating a research question, reflecting on assets in your community, and then looking to who else in your community or elsewhere has been attempting to solve this or other similar problems. You have created am Annotated Bibliography  to help you identify gaps in your research and provide a framework upon which it could proceed. And, you've begun the process of rearranging what you've placed into your annotated bibliography, as well as some of the quotations from those resources, which helped you hopefully see a narrative of those resources taking shape. Now, it is time to record that in a way that can guide your reader through these resources to see why you are going to tackle the problem the way you are.
You can (and should!) use our Genre Analysis toolkit that we talked about in class- looking at models of literature reviews, looking up templates for literature reviews, and seeing what commonalities exist that show you what a literature review IS and how you might be able to write one of your own. You should also utilize the Writing Center and your Lab Instructor in this process!
Remember, you have the They Say/I Say book to help you out with how to introduce and develop your sources and the connections between them, and our collaboratively developed Literature Review Template!!!
TASK
You will create a LITERATURE REVIEW for a paper (requirements for full paper below). This literature review will synthesize resources into a narrative that will:

Dive DIRECTLY into your sources. It could begin with a couple sentences like ""Many over the years have looked to solve the problem of X. For instance, in 2011, X looked at...""
Include at least 4 sources, including at least one scholarly and one ""popular,"" and potentially including primary sources
Demonstrate that this problem exists in your community and the community is interested in finding a solution
Refer directly to assets that can be helpful in finding a solution to the problem
Demonstrates that others have looked to solve similar problems in other places, or perhaps in your community, that can be helpful in knowing how to go about solving this problem
SYNTHESIZE your sources through an organizational structure that makes sense to a reader and builds a story of others' approach to this problem or similar problems. This means focusing on how these resources work TOGETHER rather than independently to tell this story.
Clearly work toward developing an understanding of the problem and potential solutions to the problem
Include all references cited in MLA format and with an MLA Works Cited at the end of the document

This should be similar to your Re-Mix in that you are using concepts from your resources to BUILD A NARRATIVE from the different resources you've discovered.
Your literature review WILL NOT:

Have an introduction of ANY KIND.
Include YOUR VOICE. 
Simply be a LIST of your resources sounding like ""in this source they say"" and then ""in this source they say"" and finally ""in this source they say."" . 
Draw any conclusions

 
 
 
*****DO NOT DO ANYTHING BELOW THIS LINE. IT IS INCLUDED ONLY FOR REFERENCE*****
Below, find the description for the full assignment.
You will create a minimum four-page research paper that will adhere to the following guidelines:



The writing must seek to introduce, and then provide some at least partial solution to, a problem that you see in your ""home"" that you plan to take an active part in.
The writing must include reference to ""assets"" that this community has, and seek to utilize them within the solution
The writing must include references to ""needs"" that this community has and how they relate to the problem/solution
The writing must demonstrate the ways that you will be involved in implementing this solution. This should be a realistic solution to a problem that you have the capacity to be a part of the change. And you can be a part of solving huge problems, if you can identify your role in solving them.
The writing must demonstrate the ways that research will be an ongoing component of discovering and implementing your solution. See the Action Research and/or Narrative Inquiry videos earlier for guides on what these research processes can look like, and ""The Advocate"" for a model on what this can look like in practice out in the real world.
The writing must include a minimum of four citations in MLA format, following the guidelines below:

A minimum of one scholarly citation such as a journal article, book, or study
A minimum of one CREDIBLE popular citation such as a newspaper article, newscast or some other credible form of collecting and distributing information with the community.
Encouraged inclusion of primary resources such as interviews with community members, direct observations, tweet by a neighbor, Facebook post from a community page or someone directly impacted or working on the problem, etc.





The writing's format must adhere to the following guidelines:



Begin with an Introduction that will inform the reader of what types of information they are about to read, characterizes the community and their assets/needs, etc.
Include a discussion of the problem that identifies the problem itself and how it manifests within the community. This should emerge directly from your research question and include citations that help the reader to understand the problem and its context.
Include a discussion of the solution that identifies the actions the author will take, personally and communally, to help to resolve the problem, how you are involved, and how research can play an ongoing role in the solution.
End with a conclusion that wraps up the big ideas and helps the reader to understand the totality of the writing
Be in MLA format



OBJECTIVES



Substantiate ideas and statements to accomplish a purpose
Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers
Uses appropriate Englishes for rhetorical purposes


"
Aaron Wilder,Class Reading 11/11: Another reminder of Ways of Responding,1.0,0.0009551098376313276,0.014326647564469913,2022-11-11 01:01:01.000001,"PURPOSE
I've surely said this before in class, but Design Days in the weeks leading up to a portfolio work best when they are loud. When there is lots of movement as students go back and forth between each other seeking feedback, asking questions about the assignments, ""tell me what you think when you see this feedback Aaron gave me?"" ""I'm trying to do this but I'm a little bit stuck. Have you done something like this before?"" ""I'm going for a sort of gleeful energy here with the colors and structure. Does that come across?""
One of the things that should be happening most prominently in this clamor of writing activity (the best type of writing) is receiving feedback. And in order to receive effective feedback, you need to know how to ask for feedback that will be helpful to you. To do that, we will review Elbow and Belanoff's piece, ""Summary of Ways of Responding."" This will be a part of your Peer Reviews that you will be undertaking in class today- you will need to begin the process of responding by choosing which response you would like, and then your partner's job is to give you a USEFUL response to your writing that builds from that way of responding.
TASK
READING



Elbow and Belanoff, ""Summary of Ways of Responding"" (Links to an external site.)



WRITING 



Read through this piece with your writing in mind, and let me know what types of feedback you will be seeking from your peers in class, as well as your Lab Instructor during this week. 



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers
Uses appropriate Englishes for rhetorical purposes


"
Aaron Wilder,Class Reading: Buffalo Soldier,1.0,0.0009551098376313276,0.014326647564469913,2022-04-22 01:01:01.000001,"PURPOSE
As we are working on our research writing and discussions of research, I don't want us to lose sight of the work that we've been doing all semester with focusing on really critical things like home and specificity and structure and language choices. For that reason, while we're working on your research project, we will also be continuing to read a novel by Maurice Broaddus with a strong theme of home, especially for characters who are, objectively, very far from the place that they have always called home. 
This reading will be sort of a model text for us. We will look at the ways that Broaddus uses his characters and their relationships to explore these concepts of home, we will see the ways he utilizes specificity, structure and language in this exploration. And we'll see the ways that he employs distinct rhetorical choices to accomplish various purposes within the text, and occasionally take some time to sit back, take a break from the hustle and bustle, and just discuss our reading and how it relates to our discussions of our writing.
TASK
READ


Buffalo Soldier Through Chapter 5



WRITE



A 100-word reflection that answers the following: 
Does this reading remind you of anything that you've read before?
Find at least ONE instance of SPECIFICITY and SHOWING. What do they do? Provide quoted examples.
Find at least ONE instance of structural elements in this writing? What do they do? Provide quoted examples.
Find at least ONE instance of clear rhetorical choices in the ways Maurice Broaddus brings us or withholds information. Provide quoted examples. 



OBJECTIVES



Substantiate ideas and statements to accomplish a purpose
Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers


"
Aaron Wilder,CLASS READING 9/12,0.0,0,0,2022-09-13 01:01:01.000001,"PURPOSE
You've now reviewed your peers' work, and had them review yours. Hopefully, you've had enough time to complete the Peer Review Sheet and share it with them, and they you. Now, we have to figure out what to do with that feedback to create a more effective, revised piece. What are those ways that you can ""go for the jugular"" in your writing, as our previous reading suggests? 
This reading, from the blog Writing Power, provides some concrete things that you can focus on in your revision process to ensure that your writing continues to develop from smart revisions, rather than the spinning wheel of never-ending, meaningless difference. You want to take the feedback that you've received from your peers and be laser focused on how that feedback can inform substantive and rhetorically sound changes that will help you to more effectively communicate with your chosen audience.
To do that, you can focus on many things. However, the three we are going to focus on here are Audience, Purpose and Organization and/or Focus. When you're reading this piece, keep the feedback that you received from your peer in mind. How can the feedback you received be framed by these ideas? How can you better focus your topic, how can you organize your writing to make it clearer or more powerful, how can your purpose be clearer? And how can you more effectively achieve that purpose for your audience... or, how can you alter or reimagine your audience to better achieve that purpose?
TASKS
READING



Required Reading: Writing Power- ""Revision as Re-Envisioning""
Required Reading: Bad Ideas About Writing, pg 109- ""The More Writing Process, the Better""



WRITING



Click the ""Next"" button to complete the post-reading Critical Reflection quiz



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Respond critically to readings and writers


"
Aaron Wilder,CLASS READING 9/14,0.0,0,0,2022-09-14 01:01:01.000001,"PURPOSE
This week, we're focusing on working toward a more ""final"" version of our ""Home That Built Me"" drafts. And one part of that which is exactly 0% fun but also very important for you to understand is citation styles. This is probably my least favorite part of academic writing, and I'd imagine perhaps your as well, but the histories of these citation styles are important in understanding why they have emerged as they have.
It comes from the era of the moveable type. Assigning credits in academic work was always something people were concerned about, and for a while it was typically done in a wide variety of ways, in pen, sort of on the fly. ""Narrative"" citations were the norm for the most part, having to include all the information you were trying to cite within your writing itself. This practice goes back to our first ever known linguist, Panini, who we also know was not the first linguist because he cited the work of others before him whose work we do not have records for. However, in 1891 Chicago University recognized that, in order for them to properly file and then search for the work of scholars within their filing systems, some sort of uniformity was necessary. So, they created the first ever citation style guide- The Chicago Style Manual- released in 1891.
Each citation style emerged from this original, with updates each few years to keep up with different mediums, new technology, new potential sources of scholarly information, etc. Citation styles, currently, are working to straddle the line between recognizing that most writing now is housed in digital formats (which could, conceivably, be cited much more effectively through a simple hyperlink) and recognizing that there are still print-only sources and print-only journals where scholars need to be able to credit their influences.
Citation styles also have different priorities based on the disciplines in which they are predominantly used. APA, for instance, is used most commonly in Psychology and other Health and Biological Sciences. Because of the way the scientific method works, we are constantly discovering new information, clarifying and debunking old ideas, etc. For this reason, the year of the publication is very important, and therefore goes alongside the author(s) in the in-text citation and near the front of a citation in the references section at the end of the document. It was also historically organized in file cabinets, and may need to be accessed quickly for assistance in diagnosing or treating patients in a clinical setting or during a lab using live animals where timelines are tight- so the running head allowed for quickly thumbing through documents to find the one you needed. MLA, on the other hand, is more often used in literature where the subject of study's age can vary greatly with no impact on the value of the scholarship. This means that the date of the scholarship comes far after the other crucial information such as what publisher or version the scholar is working from, and the page number is most important to note in the in-text citation. 
Knowing the ways these citation styles assign their values and why they are built the way they are is important to understanding why we even do this thing in academia and writing in general. Attribution is important, and guiding your reader to be able to understand the sources you have pulled from and be able to navigate back to them if they need to verify critical information about your use of that source.
So, while citations may be one of the worst parts of writing, it's still something that you do need to know. Not just because academics say so, but because they serve several very specific purposes and are designed by people who know what they're doing, know this history and know the needs of the discipline in order to design the best possible way to record the necessary information.
 
TASKS
READING



Required Reading: Familiarize yourself with the MLA Style Support page
Required Reading: Take a look at the MLA Interactive Practice Template



WRITING



Click the ""Next"" button to complete the post-reading Critical Reflection quiz



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Respond critically to readings and writers


"
Aaron Wilder,Draft 2 of Research Paper-- Lit Review and Discussion Sections,10.0,0.009551098376313277,0.14326647564469916,2022-11-07 01:01:01.000001,"PURPOSE
We have been working through this research assignment for about a week now, and it has become time for us to begin moving from the data collection stage into the actual recording stage. You have been working either in opposition to or directly from a problem that you stated you wished to solve in your community, and have been through a Learning and Discovery process, including creating a research question, reflecting on assets in your community, and then looking to who else in your community or elsewhere has been attempting to solve this or other similar problems. You have created am Annotated Bibliography  to help you identify gaps in your research and provide a framework upon which it could proceed. And, you've begun the process of rearranging what you've placed into your annotated bibliography, as well as some of the quotations from those resources, which helped you hopefully see a narrative of those resources taking shape. You've written up a literature review to record that narrative and guide your reader through these resources to see why you are going to tackle the problem the way you are. And now, it's time to add your voice back in and say- what did my research teach me, how can I utilize it, and what am I going to do?
You can (and should!) use our Genre Analysis toolkit that we talked about in class- looking at models of literature reviews, looking up templates for literature reviews, and seeing what commonalities exist that show you what a literature review IS and how you might be able to write one of your own. You should also utilize the Writing Center and your Lab Instructor in this process!
Remember, you have the They Say/I Say book to help you out with how to introduce and develop your sources and the connections between them!!!
Template for Discussion Section
Example of Discussion Section
TASK
You will create a LITERATURE REVIEW AND DISCUSSION SECTION for a paper (requirements for full paper below). Below will find, first, the requirements for your literature review, followed by the requirements for the Discussion.
This literature review will synthesize resources into a narrative that will:

Dive DIRECTLY into your sources. It could begin with a couple sentences like ""Many over the years have looked to solve the problem of X. For instance, in 2011, X looked at...""
Include at least 4 sources, including at least one scholarly and one ""popular,"" and potentially including primary sources
Demonstrate that this problem exists in your community and the community is interested in finding a solution
Refer directly to assets that can be helpful in finding a solution to the problem
Demonstrates that others have looked to solve similar problems in other places, or perhaps in your community, that can be helpful in knowing how to go about solving this problem
SYNTHESIZE your sources through an organizational structure that makes sense to a reader and builds a story of others' approach to this problem or similar problems. This means focusing on how these resources work TOGETHER rather than independently to tell this story.
Clearly work toward developing an understanding of the problem and potential solutions to the problem
Include all references cited in MLA format

This should be similar to your Re-Mix in that you are using concepts from your resources to BUILD A NARRATIVE from the different resources you've discovered.
Your Discussion will demonstrate the ways that you are going to act in response to what you've learned, by:

Clearly identifying your Problem and Research Question and how it relates to what was discovered in the Literature Review
Discussing Assets and Challenges that your community faces in the specific context of your community
Discussing how your community is similar to/different than communities talked about in the literature review
Discussing how you think implementing the solutions talked about in the literature review might need to be tweaked to work in your community
Discussing some possible avenues for answering your research question- what are your options for ACTION?
Consistently referencing back to the Literature Review in its discussion of the topic, including a minimum of 2 citations of those works introduced in the Literature Review
Include all references cited in MLA format and with an MLA Works Cited at the end of the document

 
*****DO NOT DO ANYTHING BELOW THIS LINE. IT IS INCLUDED ONLY FOR REFERENCE*****
Below, find the description for the full assignment.
You will create a minimum four-page research paper that will adhere to the following guidelines:



The writing must seek to introduce, and then provide some at least partial solution to, a problem that you see in your ""home"" that you plan to take an active part in.
The writing must include reference to ""assets"" that this community has, and seek to utilize them within the solution
The writing must include references to ""needs"" that this community has and how they relate to the problem/solution
The writing must demonstrate the ways that you will be involved in implementing this solution. This should be a realistic solution to a problem that you have the capacity to be a part of the change. And you can be a part of solving huge problems, if you can identify your role in solving them.
The writing must demonstrate the ways that research will be an ongoing component of discovering and implementing your solution. See the Action Research and/or Narrative Inquiry videos earlier for guides on what these research processes can look like, and ""The Advocate"" for a model on what this can look like in practice out in the real world.
The writing must include a minimum of four citations in MLA format, following the guidelines below:

A minimum of one scholarly citation such as a journal article, book, or study
A minimum of one CREDIBLE popular citation such as a newspaper article, newscast or some other credible form of collecting and distributing information with the community.
Encouraged inclusion of primary resources such as interviews with community members, direct observations, tweet by a neighbor, Facebook post from a community page or someone directly impacted or working on the problem, etc.





The writing's format must adhere to the following guidelines:



Begin with an Introduction that will inform the reader of what types of information they are about to read, characterizes the community and their assets/needs, etc.
Include a discussion of the problem that identifies the problem itself and how it manifests within the community. This should emerge directly from your research question and include citations that help the reader to understand the problem and its context.
Include a discussion of the solution that identifies the actions the author will take, personally and communally, to help to resolve the problem, how you are involved, and how research can play an ongoing role in the solution.
End with a conclusion that wraps up the big ideas and helps the reader to understand the totality of the writing
Be in MLA format



OBJECTIVES



Substantiate ideas and statements to accomplish a purpose
Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion
Respond critically to readings and writers
Uses appropriate Englishes for rhetorical purposes


"
Aaron Wilder,Optional Assignment: Writing Center Visit,0.0,0,0,2022-11-14 01:01:01.000001,"PURPOSE
While I know that all of you are in the Writing Lab and receiving regular feedback and conversations about the class and your writing from your Writing Lab Instructor, as we've learned in class, it is equally important to get different feedback and different perspectives. So, as an opportunity for bonus points, you have this assignment to go to the Writing Center for an appointment, and report back on your experience. 
The Writing Center does similar things that your writing lab will. They will get to know you a little bit, ask some critical questions, find the places where your writing shines, and then work with you on any places where you feel that your writing (ideas/concepts, rhetorical choices, word choices, organization, formatting etc.) can continue to grow. The writing center can work with you from the very beginning of a project, such as when you have a prompt coming up and you want to make sure that you understand it, all the way to the end when you need that last pair of eyes on it. The only difference is that in the ""walk-in"" writing center, you will do this with a fellow student rather than an M.A.-weilding instructor.
You may feel that this will be less beneficial- but the research shows that it is not, in fact. It is simply different. Much the way we've talked about how you all have knowledge that is accessible to you that is valuable that may not necessarily be considered so all the time (like fluency in AAVE or Appalachain English or ""Hick"" as some of you have referred to Southern English), that knowledge is indispensable in some situations. You'll find that your peers will have a lot of that type of knowledge because they are also students who are having to navigate very similar contexts to you. That will give the two of you abilities to better problem-solve together, as co-learners, for these assignments. 
So don't expect your tutors to take charge of the appointments. Go in with an idea of what you'd like to accomplish, and then negotiate with them how you want to approach this co-learning moment for the best of your benefit in this writing project.
TASK
VIEW



The Writing Center website



SCHEDULE



An appointment with a peer writing tutor



WRITE



A brief synopsis about how well you were able to navigate the writing center's website, and how the website, intake form etc. did or did not prepare you for the experience of the writing center tutorial




Make sure that your tutor includes me in the Client Report Form emails so that I receive a copy of said report form



OBJECTIVES



Integrate and respond to both dominant and silenced perspectives
Create voices, roles for the reader, pathways to guide readers appropriate for the occasion


"
